id,popularity,vote_count,genre_ids,title,vote_average,datetime
694919,2580.212,45,[28],Money Plane,5.4,2020-09-29
497582,1468.23,1253,"[12, 80, 18, 9648]",Enola Holmes,7.8,2020-09-23
539885,1200.463,379,"[28, 80, 18, 53]",Ava,6.0,2020-07-02
337401,1190.413,2125,"[28, 12, 18, 14]",Mulan,7.4,2020-09-04
724989,1150.673,110,"[28, 53]",Hard Kill,5.0,2020-08-25
718444,976.575,274,[28],Rogue,5.9,2020-08-20
438396,913.5239999999999,195,"[18, 53]",Unknown Origins,6.2,2020-08-28
734309,798.308,121,[28],Santana,5.7,2020-08-28
581392,775.069,532,"[28, 27, 53]",Peninsula,7.1,2020-07-15
605116,650.61,1351,"[28, 80, 878]",Project Power,6.6,2020-08-14
623634,541.164,35,[18],The Innocence,6.3,2020-01-10
726739,536.875,21,"[28, 35]",Cats & Dogs 3: Paws Unite,6.8,2020-10-02
721452,536.275,96,"[28, 53]",One Night in Bangkok,7.3,2020-08-25
606234,534.729,110,[878],Archive,5.7,2020-08-13
594328,506.291,87,"[16, 35, 10402, 878, 10751, 10770]",Phineas and Ferb The Movie: Candace Against the Universe,7.0,2020-08-28
720395,450.639,6,"[27, 53]",Let It Snow,5.3,2020-09-22
735110,432.077,14,"[28, 27, 9648, 53]",Dark Forces,5.1,2020-08-21
677638,404.077,416,"[12, 16, 35, 10751]",We Bare Bears: The Movie,7.8,2020-06-30
611395,397.092,116,"[28, 12, 14]",Double World,6.8,2020-07-21
722603,396.591,50,"[28, 27, 878]",Battlefield 2025,5.7,2020-07-07
412546,387.202,0,[27],Antrum,0.0,2020-10-23
547016,383.24199999999996,2079,"[28, 14]",The Old Guard,7.3,2020-07-10
627290,376.843,119,[27],Antebellum,6.0,2020-09-02
613504,376.537,387,"[18, 10749]",After We Collided,6.7,2020-09-02
601165,363.467,83,"[28, 53]",Legacy of Lies,5.8,2020-08-06
703134,356.76300000000003,36,"[80, 18, 53]",Infamous,5.5,2020-06-12
475430,354.496,840,"[28, 12, 14, 878, 10751]",Artemis Fowl,5.8,2020-06-12
385103,353.19,695,"[12, 16, 35, 10751]",Scoob!,7.3,2020-07-08
495764,331.801,5895,"[28, 35, 80]",Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.2,2020-02-05
603119,331.58,106,"[28, 80, 53]",The Silencing,6.9,2020-07-18
