popularity,vote_count,video,poster_path,id,adult,backdrop_path,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
2580.212,45,False,/6CoRTJTmijhBLJTUNoVSUNxZMEI.jpg,694919,False,/pq0JSpwyT2URytdFG0euztQPAyR.jpg,/pq0JSpwyT2URytdFG0euztQPAyR.jpg,en,Money Plane,[28],Money Plane,5.4,A professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.,2020-09-29
1468.23,1253,False,/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,497582,False,/kMe4TKMDNXTKptQPAdOF0oZHq3V.jpg,/kMe4TKMDNXTKptQPAdOF0oZHq3V.jpg,en,Enola Holmes,"[12, 80, 18, 9648]",Enola Holmes,7.8,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020-09-23
1200.463,379,False,/qzA87Wf4jo1h8JMk9GilyIYvwsA.jpg,539885,False,/54yOImQgj8i85u9hxxnaIQBRUuo.jpg,/54yOImQgj8i85u9hxxnaIQBRUuo.jpg,en,Ava,"[28, 80, 18, 53]",Ava,6,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,2020-07-02
1190.413,2125,False,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,337401,False,/zzWGRw277MNoCs3zhyG3YmYQsXv.jpg,/zzWGRw277MNoCs3zhyG3YmYQsXv.jpg,en,Mulan,"[28, 12, 18, 14]",Mulan,7.4,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",2020-09-04
1150.673,110,False,/ugZW8ocsrfgI95pnQ7wrmKDxIe.jpg,724989,False,/86L8wqGMDbwURPni2t7FQ0nDjsH.jpg,/86L8wqGMDbwURPni2t7FQ0nDjsH.jpg,en,Hard Kill,"[28, 53]",Hard Kill,5,"The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",2020-08-25
976.575,274,False,/uOw5JD8IlD546feZ6oxbIjvN66P.jpg,718444,False,/x4UkhIQuHIJyeeOTdcbZ3t3gBSa.jpg,/x4UkhIQuHIJyeeOTdcbZ3t3gBSa.jpg,pt,Rogue,[28],Rogue,5.9,"Battle-hardened O’Hara leads a lively mercenary team of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O’Hara’s squad must face a bloody, brutal encounter with a gang of rebels.",2020-08-20
913.524,195,False,/vJHSParlylICnI7DuuI54nfTPRR.jpg,438396,False,/qGZe9qTuydxyJYQ60XDtEckzLR8.jpg,/qGZe9qTuydxyJYQ60XDtEckzLR8.jpg,es,Orígenes secretos,"[18, 53]",Unknown Origins,6.2,"In Madrid, Spain, a mysterious serial killer ruthlessly murders his victims by recreating the first appearance of several comic book superheroes. Cosme, a veteran police inspector who is about to retire, works on the case along with the tormented inspector David Valentín and his own son Jorge Elías, a nerdy young man who owns a comic book store.",2020-08-28
798.308,121,False,/9Rj8l6gElLpRL7Kj17iZhrT5Zuw.jpg,734309,False,/7fvdg211A2L0mHddvzyArRuRalp.jpg,/7fvdg211A2L0mHddvzyArRuRalp.jpg,en,Santana,[28],Santana,5.7,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago. They may kill each other before capturing the bad guys.,2020-08-28
775.069,532,False,/sy6DvAu72kjoseZEjocnm2ZZ09i.jpg,581392,False,/gEjNlhZhyHeto6Fy5wWy5Uk3A9D.jpg,/gEjNlhZhyHeto6Fy5wWy5Uk3A9D.jpg,ko,반도,"[28, 27, 53]",Peninsula,7.1,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,2020-07-15
650.61,1351,False,/TnOeov4w0sTtV2gqICqIxVi74V.jpg,605116,False,/qVygtf2vU15L2yKS4Ke44U4oMdD.jpg,/qVygtf2vU15L2yKS4Ke44U4oMdD.jpg,en,Project Power,"[28, 80, 878]",Project Power,6.6,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",2020-08-14
541.164,35,False,/qOYf3L6eyCO027JoeM33pTJcNSR.jpg,623634,False,/fbjzxbWAUijs0fsQ6Hlbls0NtAj.jpg,/fbjzxbWAUijs0fsQ6Hlbls0NtAj.jpg,ca,La innòcencia,[18],The Innocence,6.3,"Lis is a teenager whose dream is to become a circus artist and leave her hometown, even if she knows that to do it she’ll have to fight her side against her parents. It’s summer and she spends her days playing with her friends and flirting with her boyfriend, a few years older than herself. The lack of privacy and the neighbours’ gossip force Lis to keep their relationship secret so that her parents won’t find out. A relationship which change her live forever.",2020-01-10
536.875,21,False,/4BgSWFMW2MJ0dT5metLzsRWO7IJ.jpg,726739,False,/axPvTxOKwbV70hdJgf3SfI71gDn.jpg,/axPvTxOKwbV70hdJgf3SfI71gDn.jpg,en,Cats & Dogs 3: Paws Unite,"[28, 35]",Cats & Dogs 3: Paws Unite,6.8,"It's been ten years since the creation of the Great Truce, an elaborate joint-species surveillance system designed and monitored by cats and dogs to keep the peace when conflicts arise. But when a tech-savvy villain hacks into wireless networks to use frequencies only heard by cats and dogs, he manipulates them into conflict and the worldwide battle between cats and dogs is BACK ON. Now, a team of inexperienced and untested agents will have to use their old-school animal instincts to restore order and peace between cats and dogs everywhere.",2020-10-02
536.275,96,False,/i4kPwXPlM1iy8Jf3S1uuLuwqQAV.jpg,721452,False,/riDrpqQtZpXGeiJdlmfcwwPH7nN.jpg,/riDrpqQtZpXGeiJdlmfcwwPH7nN.jpg,en,One Night in Bangkok,"[28, 53]",One Night in Bangkok,7.3,"A hit man named Kai flies into Bangkok, gets a gun, and orders a cab. He offers a professional female driver big money to be his all-night driver. But when she realizes Kai is committing brutal murders at each stop, it's too late to walk away. Meanwhile, an offbeat police detective races to decode the string of slayings before more blood is spilled.",2020-08-25
534.729,110,False,/eDnHgozW8vfOaLHzfpHluf1GZCW.jpg,606234,False,/u9YEh2xVAPVTKoaMNlB5tH6pXkm.jpg,/u9YEh2xVAPVTKoaMNlB5tH6pXkm.jpg,en,Archive,[878],Archive,5.7,"2038: George Almore is working on a true human-equivalent AI, and his latest prototype is almost ready. This sensitive phase is also the riskiest as he has a goal that must be hidden at all costs—being reunited with his dead wife.",2020-08-13
506.291,87,False,/n6hptKS7Y0ZjkYwbqKOK3jz9XAC.jpg,594328,False,/lkeBhXGJFRlhI7cBWn8LQQAdZqK.jpg,/lkeBhXGJFRlhI7cBWn8LQQAdZqK.jpg,en,Phineas and Ferb The Movie: Candace Against the Universe,"[16, 35, 10402, 878, 10751, 10770]",Phineas and Ferb The Movie: Candace Against the Universe,7,"Phineas and Ferb travel across the galaxy to rescue their older sister Candace, who has been abducted by aliens and taken to a utopia in a far-off planet, free of her pesky little brothers.",2020-08-28
450.639,6,False,/rAeQaySpt5iSdK8eWOpBnSB8mGQ.jpg,720395,False,/a0tw4II2EQFjzSONDk86Q0YLNT2.jpg,/a0tw4II2EQFjzSONDk86Q0YLNT2.jpg,en,Let It Snow,"[27, 53]",Let It Snow,5.3,"Separated from her fiance after sneaking onto a restricted slope, Mia, a free riding snowboarder, must survive not only against nature, but the masked snowmobile rider in black who's out for her blood.",2020-09-22
432.077,14,False,/dKSN0oZCUSNcEd39MnySLYmpUiJ.jpg,735110,False,/aahbYclKYfms6Utm5YHQOywsj9N.jpg,/aahbYclKYfms6Utm5YHQOywsj9N.jpg,es,Fuego negro,"[28, 27, 9648, 53]",Dark Forces,5.1,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",2020-08-21
404.077,416,False,/kPzcvxBwt7kEISB9O4jJEuBn72t.jpg,677638,False,/pO1SnM5a1fEsYrFaVZW78Wb0zRJ.jpg,/pO1SnM5a1fEsYrFaVZW78Wb0zRJ.jpg,en,We Bare Bears: The Movie,"[12, 16, 35, 10751]",We Bare Bears: The Movie,7.8,"When Grizz, Panda, and Ice Bear's love of food trucks and viral videos went out of hand, it catches the attention of Agent Trout from the National Wildlife Control, who pledges to restore the “natural order” by separating them forever. Chased away from their home, the Bears embark on an epic road trip as they seek refuge in Canada, with their journey being filled with new friends, perilous obstacles, and huge parties. The risky journey also forces the Bears to face how they first met and became brothers, in order to keep their family bond from splitting apart.",2020-06-30
397.092,116,False,/lv3RonWge4GlC9ymNzC0oWpFCfv.jpg,611395,False,/90yhXKTDNfaV7JnC7RcTpZcRTGC.jpg,/90yhXKTDNfaV7JnC7RcTpZcRTGC.jpg,zh,征途,"[28, 12, 14]",Double World,6.8,"Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle.",2020-07-21
396.591,50,False,/w6e0XZreiyW4mGlLRHEG8ipff7b.jpg,722603,False,/m7QpUAeI2xTCJyAVl9J9z5dBTSb.jpg,/m7QpUAeI2xTCJyAVl9J9z5dBTSb.jpg,en,Battlefield 2025,"[28, 27, 878]",Battlefield 2025,5.7,"Weekend campers, an escaped convict, young lovers and a police officer experience a night of terror when a hostile visitor from another world descends on a small Arizona town.",2020-07-07
387.202,0,False,/20de4Rcmy4B0L5zyOc3Nc5F7c0D.jpg,412546,False,/orwxqKr7fZVf8B2UnLS5W0fSL7i.jpg,/orwxqKr7fZVf8B2UnLS5W0fSL7i.jpg,en,Antrum,[27],Antrum,0,"Rumored to have been lost, Antrum appears as a cursed film from the 1970s. Viewers are warned to proceed with caution. It’s said to be a story about a young boy and girl who enter the forest in an attempt to save the soul of their recently deceased pet. They journey to “The Antrum,” they very spot the devil landed after being cast out of heaven. There, the children begin to dig a hole to hell.",2020-10-23
383.242,2079,False,/cjr4NWURcVN3gW5FlHeabgBHLrY.jpg,547016,False,/m0ObOaJBerZ3Unc74l471ar8Iiy.jpg,/m0ObOaJBerZ3Unc74l471ar8Iiy.jpg,en,The Old Guard,"[28, 14]",The Old Guard,7.3,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,2020-07-10
376.843,119,False,/irkse1FMm9dWemwlxKJ7RINT9Iy.jpg,627290,False,/pGqBDYycGWsMYc57sYv5M9GAQoW.jpg,/pGqBDYycGWsMYc57sYv5M9GAQoW.jpg,en,Antebellum,[27],Antebellum,6,Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,2020-09-02
376.537,387,False,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,613504,False,/r5srC0cqU36n38azFnCyReEksiR.jpg,/r5srC0cqU36n38azFnCyReEksiR.jpg,en,After We Collided,"[18, 10749]",After We Collided,6.7,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,2020-09-02
363.467,83,False,/bhNHCeJDFDaB00A46AoCw2mggdE.jpg,601165,False,/nxxODhq9I05Ze9uLONGvfDrzaUO.jpg,/nxxODhq9I05Ze9uLONGvfDrzaUO.jpg,en,Legacy of Lies,"[28, 53]",Legacy of Lies,5.8,An ex-MI6 agent is thrown back into the world of espionage and high stakes to uncover the shocking truth about operations conducted by unknown secret services.,2020-08-06
356.763,36,False,/q2lkJf1TAjImTHCEO7XvbqPtnPb.jpg,703134,False,/j57oUw8LIYvjOl0zs3A1A1UqwKH.jpg,/j57oUw8LIYvjOl0zs3A1A1UqwKH.jpg,en,Infamous,"[80, 18, 53]",Infamous,5.5,"Two young lovers rob their way across the southland, posting their exploits to social media, and gaining fame and followers as a result.",2020-06-12
354.496,840,False,/tI8ocADh22GtQFV28vGHaBZVb0U.jpg,475430,False,/o0F8xAt8YuEm5mEZviX5pEFC12y.jpg,/o0F8xAt8YuEm5mEZviX5pEFC12y.jpg,en,Artemis Fowl,"[28, 12, 14, 878, 10751]",Artemis Fowl,5.8,Artemis Fowl is a 12-year-old genius and descendant of a long line of criminal masterminds. He soon finds himself in an epic battle against a race of powerful underground fairies who may be behind his father's disappearance.,2020-06-12
353.19,695,False,/jHo2M1OiH9Re33jYtUQdfzPeUkx.jpg,385103,False,/fKtYXUhX5fxMxzQfyUcQW9Shik6.jpg,/fKtYXUhX5fxMxzQfyUcQW9Shik6.jpg,en,Scoob!,"[12, 16, 35, 10751]",Scoob!,7.3,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",2020-07-08
331.801,5895,False,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,495764,False,/9xNOiv6DZZjH7ABoUUDP0ZynouU.jpg,/9xNOiv6DZZjH7ABoUUDP0ZynouU.jpg,en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"[28, 35, 80]",Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.2,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",2020-02-05
331.58,106,False,/dnN1ncxEOO1TY0gYL2FWxJqlhlL.jpg,603119,False,/aRyTzHXl9A0vHsd3zd8w2IJxezn.jpg,/aRyTzHXl9A0vHsd3zd8w2IJxezn.jpg,en,The Silencing,"[28, 80, 53]",The Silencing,6.9,A reformed hunter becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,2020-07-18
330.191,5306,False,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,38700,False,/upUy2QhMZEmtypPW3PdieKLAHxh.jpg,/upUy2QhMZEmtypPW3PdieKLAHxh.jpg,en,Bad Boys for Life,"[28, 80, 53]",Bad Boys for Life,7.3,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",2020-01-15
328.077,19,False,/vQgXwuJrlpzGDI8169tRQRy71Nv.jpg,479259,False,/wUP0KIAXcRevjjJpoSKT7LLhiaK.jpg,/wUP0KIAXcRevjjJpoSKT7LLhiaK.jpg,en,Lost Girls & Love Hotels,"[18, 53]",Lost Girls & Love Hotels,5.7,"Searching for escape in Tokyo's back alleys, a haunted English teacher explores love and lust with a dashing Yakuza, as their tumultuous affair takes her on a journey through the city's dive bars and three-hour love hotels.",2020-09-18
